RK,TIERS,PLAYER NAME,TEAM,POS#,POS,BYE WEEK,SOS SEASON,ECR VS. ADP,AVG. POINTS ,% GAMES 
49,5,Tee Higgins,CIN,WR26,WR,12,2,14,-0.7,33% (4/12)
50,5,Zay Flowers,BAL,WR27,WR,14,3,10,-0.1,43% (7/16)
51,6,Joe Mixon,HOU,RB16,RB,14,3,-13,0.4,37% (6/16)
52,6,C.J. Stroud,HOU,QB6,QB,14,2,-3,2,42% (6/14)
53,6,Terry McLaurin,WAS,WR28,WR,14,3,23,-0.8,43% (7/16)
54,6,Kenneth Walker III,SEA,RB17,RB,10,4,-10,-0.4,42% (6/14)
55,6,George Pickens,PIT,WR29,WR,9,1,3,1.7,37% (6/16)
56,6,Christian Kirk,JAC,WR30,WR,12,4,16,-0.9,58% (7/12)
57,6,Rashee Rice,KC,WR31,WR,6,3,21,2.5,68% (11/16)
58,6,Kyler Murray,ARI,QB7,QB,11,2,13,2.1,71% (5/7)
59,6,Tank Dell,HOU,WR32,WR,14,3,5,3.1,54% (6/11)
60,6,Mark Andrews,BAL,TE4,TE,14,3,-13,0.3,50% (5/10)
61,6,Joe Burrow,CIN,QB8,QB,12,2,-4,-2.2,44% (4/9)
62,6,Chris Godwin,TB,WR33,WR,11,3,15,-0.1,31% (5/16)
63,6,Dak Prescott,DAL,QB9,QB,7,2,5,1.5,50% (8/16)
64,6,Keenan Allen,CHI,WR34,WR,7,4,9,2.6,46% (6/13)
65,6,James Conner,ARI,RB18,RB,11,2,-11,1.3,50% (6/12)
66,6,Dalton Kincaid,BUF,TE5,TE,12,2,-16,-1,31% (5/16)
67,6,Aaron Jones,MIN,RB19,RB,6,3,-11,-2.3,40% (4/10)
68,6,Diontae Johnson,CAR,WR35,WR,11,5,19,0,58% (7/12)
69,6,Rhamondre Stevenson,NE,RB20,RB,14,2,-4,-1.9,33% (4/12)
70,6,Jordan Love,GB,QB10,QB,10,5,-1,3.5,75% (12/16)
71,6,Calvin Ridley,TEN,WR36,WR,5,4,4,-0.5,37% (6/16)
72,6,David Montgomery,DET,RB21,RB,5,3,-11,2,61% (8/13)
